GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
willmetl,dominion,Dominion,36,0,2,0,11,0,4,0,3,0
willmetl,dominion,Card,13,384,1,9,1,52,3,15,2,11
willmetl,dominion,Card.new Card() {...},4,86,2,10,1,14,2,6,0,2
willmetl,dominion,Card.new Card() {...},0,18,0,0,0,4,0,2,0,2
willmetl,dominion,Card.new Card() {...},0,34,0,0,0,7,0,3,0,3
willmetl,dominion,Card.new Card() {...},0,14,0,0,0,2,0,2,0,2
willmetl,dominion,Player,330,706,33,57,53,137,31,47,10,23
willmetl,dominion,Card.new Card() {...},0,27,0,2,0,5,0,3,0,2
willmetl,dominion,Card.new Card() {...},0,46,1,5,0,9,1,4,0,2
willmetl,dominion,Card.new Card() {...},2,42,1,5,1,6,1,4,0,2
willmetl,dominion,Card.new Card() {...},2,75,1,5,1,11,1,4,0,2
willmetl,dominion,GameState,7,440,2,32,2,70,3,25,1,10
willmetl,dominion,Card.new Card() {...},0,32,0,4,0,10,0,4,0,2
willmetl,dominion,Card.new Card() {...},0,32,0,0,0,6,0,2,0,2
willmetl,dominion,Card.new Card() {...},0,35,0,2,0,6,0,3,0,2
willmetl,dominion,Card.Type,9,39,0,0,0,2,2,2,2,2
willmetl,dominion,Card.new Card() {...},0,25,1,1,0,5,1,2,0,2
willmetl,dominion,Card.new Card() {...},0,50,0,8,0,9,0,6,0,2
